 0.3600000E-01  0.9227849E-01  0.1773318E-05 -0.3054474E-01 -0.1765055E-06  0.1433272E-06  0.4305067E-06  0.1037345E-05 -0.2286959E-06  0.7775263E-07  0.3534810E-06  0.2640266E-07  0.9234791E-01 -0.6620182E-05 -0.3056140E-01  0.2629515E-06  0.1390251E-05
 0.3800000E-01  0.9707179E-01  0.2071844E-05 -0.3210196E-01 -0.2064713E-06  0.1674856E-06  0.5033095E-06  0.1211920E-05 -0.2670102E-06  0.9095769E-07  0.4130008E-06  0.3060967E-07  0.9715427E-01 -0.7731627E-05 -0.3212135E-01  0.3070997E-06  0.1623908E-05
 0.4000000E-01  0.1017959E+00  0.2397437E-05 -0.3363157E-01 -0.2392322E-06  0.1938434E-06  0.5828196E-06  0.1402312E-05 -0.3087380E-06  0.1053933E-06  0.4779164E-06  0.3513152E-07  0.1018929E+00 -0.8942966E-05 -0.3365393E-01  0.3552150E-06  0.1878636E-05
 0.4200000E-01  0.1064510E+00  0.2750259E-05 -0.3513346E-01 -0.2748246E-06  0.2224159E-06  0.6691055E-06  0.1608616E-05 -0.3538840E-06  0.1210743E-06  0.5482586E-06  0.3995565E-07  0.1065640E+00 -0.1025460E-04 -0.3515901E-01  0.4073127E-06  0.2154534E-05
 0.4400000E-01  0.1110375E+00  0.3130338E-05 -0.3660755E-01 -0.3132734E-06  0.2532079E-06  0.7622056E-06  0.1830849E-05 -0.4024335E-06  0.1380104E-06  0.6240307E-06  0.4506671E-07  0.1111680E+00 -0.1166640E-04 -0.3663650E-01  0.4633875E-06  0.2451595E-05
 0.4600000E-01  0.1155555E+00  0.3537569E-05 -0.3805376E-01 -0.3545919E-06  0.2862135E-06  0.8621294E-06  0.2068950E-05 -0.4543530E-06  0.1562056E-06  0.7052089E-06  0.5044675E-07  0.1157052E+00 -0.1317776E-04 -0.3808633E-01  0.5234138E-06  0.2769703E-05
 0.4800000E-01  0.1200054E+00  0.3971718E-05 -0.3947203E-01 -0.3987824E-06  0.3214165E-06  0.9688577E-06  0.2322782E-05 -0.5095903E-06  0.1756589E-06  0.7917425E-06  0.5607531E-07  0.1201759E+00 -0.1478754E-04 -0.3950842E-01  0.5873458E-06  0.3108639E-05
 0.5000000E-01  0.1243875E+00  0.4432420E-05 -0.4086230E-01 -0.4458363E-06  0.3587904E-06  0.1082343E-05  0.2592136E-05 -0.5680745E-06  0.1963638E-06  0.8835545E-06  0.6192967E-07  0.1245805E+00 -0.1649411E-04 -0.4090270E-01  0.6551184E-06  0.3468081E-05
 0.5200000E-01  0.1287021E+00  0.4919185E-05 -0.4222452E-01 -0.4957344E-06  0.3982988E-06  0.1202512E-05  0.2876729E-05 -0.6297170E-06  0.2183089E-06  0.9805420E-06  0.6798493E-07  0.1289193E+00 -0.1829540E-04 -0.4226911E-01  0.7266474E-06  0.3847608E-05
 0.5400000E-01  0.1329494E+00  0.5431404E-05 -0.4355867E-01 -0.5484468E-06  0.4398956E-06  0.1329264E-05  0.3176207E-05 -0.6944111E-06  0.2414775E-06  0.1082577E-05  0.7421429E-07  0.1331925E+00 -0.2018884E-04 -0.4360762E-01  0.8018299E-06  0.4246701E-05
 0.5600000E-01  0.1371298E+00  0.5968345E-05 -0.4486472E-01 -0.6039339E-06  0.4835254E-06  0.1462471E-05  0.3490151E-05 -0.7620330E-06  0.2658481E-06  0.1189506E-05  0.8058918E-07  0.1374007E+00 -0.2217142E-04 -0.4491817E-01  0.8805451E-06  0.4664745E-05
 0.5800000E-01  0.1412436E+00  0.6529161E-05 -0.4614266E-01 -0.6621458E-06  0.5291232E-06  0.1601983E-05  0.3818070E-05 -0.8324419E-06  0.2913940E-06  0.1301152E-05  0.8707949E-07  0.1415440E+00 -0.2423969E-04 -0.4620075E-01  0.9626546E-06  0.5101032E-05
 0.6000000E-01  0.1452911E+00  0.7112893E-05 -0.4739248E-01 -0.7230233E-06  0.5766153E-06  0.1747624E-05  0.4159415E-05 -0.9054803E-06  0.3180840E-06  0.1417314E-05  0.9365375E-07  0.1456230E+00 -0.2638977E-04 -0.4745533E-01  0.1048003E-05  0.5554766E-05
 0.6200000E-01  0.1492727E+00  0.7718473E-05 -0.4861420E-01 -0.7864978E-06  0.6259193E-06  0.1899197E-05  0.4513570E-05 -0.9809748E-06  0.3458820E-06  0.1537767E-05  0.1002794E-06  0.1496379E+00 -0.2861738E-04 -0.4868189E-01  0.1136419E-05  0.6025062E-05
 0.6400000E-01  0.1531887E+00  0.8344726E-05 -0.4980783E-01 -0.8524919E-06  0.6769443E-06  0.2056478E-05  0.4879862E-05 -0.1058736E-05  0.3747472E-06  0.1662266E-05  0.1069228E-06  0.1535890E+00 -0.3091784E-04 -0.4988044E-01  0.1227714E-05  0.6510955E-05
 0.6600000E-01  0.1570395E+00  0.8990377E-05 -0.5097339E-01 -0.9209192E-06  0.7295916E-06  0.2219227E-05  0.5257558E-05 -0.1138560E-05  0.4046345E-06  0.1790543E-05  0.1135498E-06  0.1574769E+00 -0.3328608E-04 -0.5105098E-01  0.1321688E-05  0.7011394E-05
 0.6800000E-01  0.1608254E+00  0.9654052E-05 -0.5211093E-01 -0.9916851E-06  0.7837544E-06  0.2387180E-05  0.5645872E-05 -0.1220229E-05  0.4354941E-06  0.1922307E-05  0.1201257E-06  0.1613018E+00 -0.3571670E-04 -0.5219351E-01  0.1418122E-05  0.7525254E-05
 0.7000000E-01  0.1645468E+00  0.1033428E-04 -0.5322048E-01 -0.1064687E-05  0.8393185E-06  0.2560054E-05  0.6043964E-05 -0.1303508E-05  0.4672722E-06  0.2057251E-05  0.1266155E-06  0.1650641E+00 -0.3820391E-04 -0.5330808E-01  0.1516786E-05  0.8051336E-05
 0.7200000E-01  0.1682040E+00  0.1102951E-04 -0.5430211E-01 -0.1139815E-05  0.8961627E-06  0.2737548E-05  0.6450945E-05 -0.1388152E-05  0.4999105E-06  0.2195045E-05  0.1329841E-06  0.1687642E+00 -0.4074163E-04 -0.5439469E-01  0.1617436E-05  0.8588367E-05
 0.7400000E-01  0.1717975E+00  0.1173810E-04 -0.5535588E-01 -0.1216950E-05  0.9541588E-06  0.2919342E-05  0.6865877E-05 -0.1473901E-05  0.5333469E-06  0.2335341E-05  0.1391966E-06  0.1724025E+00 -0.4332344E-04 -0.5545340E-01  0.1719817E-05  0.9135010E-05
 0.7600000E-01  0.1753276E+00  0.1245831E-04 -0.5638186E-01 -0.1295969E-05  0.1013172E-05  0.3105099E-05  0.7287776E-05 -0.1560484E-05  0.5675151E-06  0.2477775E-05  0.1452185E-06  0.1759793E+00 -0.4594264E-04 -0.5648424E-01  0.1823661E-05  0.9689862E-05
 0.7800000E-01  0.1787947E+00  0.1318836E-04 -0.5738014E-01 -0.1376738E-05  0.1073062E-05  0.3294468E-05  0.7715618E-05 -0.1647617E-05  0.6023451E-06  0.2621964E-05  0.1510157E-06  0.1794951E+00 -0.4859225E-04 -0.5748726E-01  0.1928689E-05  0.1025146E-04
