 0.2000000E-02 -0.5573562E+00 -0.1573020E+00 -0.9814044E+00 -0.9026386E+00  0.2930440E+00  0.1031252E+00  0.2897019E+00  0.2838780E+00  0.1320013E+00 -0.2493049E+00 -0.7652263E+00  0.2148452E+00
 0.4000000E-02 -0.5573622E+00 -0.1573039E+00 -0.9814124E+00 -0.9026465E+00  0.2930474E+00  0.1031264E+00  0.2897053E+00  0.2838813E+00  0.1320028E+00 -0.2493078E+00 -0.7652337E+00  0.2148477E+00
 0.6000000E-02 -0.5573741E+00 -0.1573076E+00 -0.9814283E+00 -0.9026622E+00  0.2930542E+00  0.1031289E+00  0.2897120E+00  0.2838879E+00  0.1320060E+00 -0.2493136E+00 -0.7652484E+00  0.2148528E+00
 0.8000000E-02 -0.5573919E+00 -0.1573131E+00 -0.9814520E+00 -0.9026856E+00  0.2930643E+00  0.1031326E+00  0.2897221E+00  0.2838977E+00  0.1320106E+00 -0.2493223E+00 -0.7652703E+00  0.2148603E+00
 0.1000000E-01 -0.5574154E+00 -0.1573205E+00 -0.9814834E+00 -0.9027166E+00  0.2930777E+00  0.1031374E+00  0.2897353E+00  0.2839107E+00  0.1320168E+00 -0.2493338E+00 -0.7652993E+00  0.2148703E+00
 0.1200000E-01 -0.5574447E+00 -0.1573296E+00 -0.9815224E+00 -0.9027551E+00  0.2930944E+00  0.1031434E+00  0.2897518E+00  0.2839269E+00  0.1320245E+00 -0.2493481E+00 -0.7653354E+00  0.2148827E+00
 0.1400000E-01 -0.5574796E+00 -0.1573405E+00 -0.9815689E+00 -0.9028010E+00  0.2931143E+00  0.1031506E+00  0.2897715E+00  0.2839462E+00  0.1320337E+00 -0.2493652E+00 -0.7653784E+00  0.2148974E+00
 0.1600000E-01 -0.5575201E+00 -0.1573532E+00 -0.9816229E+00 -0.9028543E+00  0.2931373E+00  0.1031589E+00  0.2897943E+00  0.2839686E+00  0.1320443E+00 -0.2493849E+00 -0.7654283E+00  0.2149146E+00
 0.1800000E-01 -0.5575660E+00 -0.1573675E+00 -0.9816842E+00 -0.9029148E+00  0.2931635E+00  0.1031684E+00  0.2898202E+00  0.2839940E+00  0.1320564E+00 -0.2494074E+00 -0.7654850E+00  0.2149340E+00
 0.2000000E-01 -0.5576174E+00 -0.1573836E+00 -0.9817528E+00 -0.9029824E+00  0.2931928E+00  0.1031789E+00  0.2898492E+00  0.2840224E+00  0.1320699E+00 -0.2494325E+00 -0.7655484E+00  0.2149558E+00
 0.2200000E-01 -0.5576742E+00 -0.1574013E+00 -0.9818285E+00 -0.9030572E+00  0.2932251E+00  0.1031906E+00  0.2898812E+00  0.2840538E+00  0.1320848E+00 -0.2494603E+00 -0.7656184E+00  0.2149798E+00
 0.2400000E-01 -0.5577362E+00 -0.1574207E+00 -0.9819113E+00 -0.9031388E+00  0.2932605E+00  0.1032034E+00  0.2899162E+00  0.2840881E+00  0.1321011E+00 -0.2494906E+00 -0.7656949E+00  0.2150061E+00
 0.2600000E-01 -0.5578035E+00 -0.1574417E+00 -0.9820011E+00 -0.9032274E+00  0.2932988E+00  0.1032172E+00  0.2899541E+00  0.2841253E+00  0.1321188E+00 -0.2495235E+00 -0.7657779E+00  0.2150346E+00
 0.2800000E-01 -0.5578760E+00 -0.1574643E+00 -0.9820978E+00 -0.9033228E+00  0.2933401E+00  0.1032321E+00  0.2899949E+00  0.2841654E+00  0.1321378E+00 -0.2495589E+00 -0.7658672E+00  0.2150653E+00
 0.3000000E-01 -0.5579535E+00 -0.1574885E+00 -0.9822013E+00 -0.9034249E+00  0.2933842E+00  0.1032480E+00  0.2900386E+00  0.2842083E+00  0.1321582E+00 -0.2495968E+00 -0.7659628E+00  0.2150981E+00
 0.3200000E-01 -0.5580360E+00 -0.1575143E+00 -0.9823115E+00 -0.9035336E+00  0.2934313E+00  0.1032650E+00  0.2900852E+00  0.2842539E+00  0.1321799E+00 -0.2496371E+00 -0.7660647E+00  0.2151331E+00
 0.3400000E-01 -0.5581235E+00 -0.1575416E+00 -0.9824283E+00 -0.9036488E+00  0.2934811E+00  0.1032830E+00  0.2901345E+00  0.2843023E+00  0.1322029E+00 -0.2496799E+00 -0.7661727E+00  0.2151702E+00
 0.3600000E-01 -0.5582159E+00 -0.1575704E+00 -0.9825517E+00 -0.9037705E+00  0.2935337E+00  0.1033020E+00  0.2901866E+00  0.2843534E+00  0.1322271E+00 -0.2497250E+00 -0.7662867E+00  0.2152093E+00
 0.3800000E-01 -0.5583131E+00 -0.1576007E+00 -0.9826816E+00 -0.9038986E+00  0.2935891E+00  0.1033220E+00  0.2902414E+00  0.2844072E+00  0.1322527E+00 -0.2497726E+00 -0.7664067E+00  0.2152505E+00
 0.4000000E-01 -0.5584151E+00 -0.1576326E+00 -0.9828178E+00 -0.9040329E+00  0.2936471E+00  0.1033429E+00  0.2902989E+00  0.2844636E+00  0.1322795E+00 -0.2498224E+00 -0.7665326E+00  0.2152937E+00
 0.4200000E-01 -0.5585217E+00 -0.1576659E+00 -0.9829603E+00 -0.9041735E+00  0.2937079E+00  0.1033649E+00  0.2903591E+00  0.2845226E+00  0.1323075E+00 -0.2498745E+00 -0.7666643E+00  0.2153388E+00
 0.4400000E-01 -0.5586330E+00 -0.1577006E+00 -0.9831091E+00 -0.9043201E+00  0.2937712E+00  0.1033877E+00  0.2904219E+00  0.2845842E+00  0.1323368E+00 -0.2499290E+00 -0.7668017E+00  0.2153860E+00
 0.4600000E-01 -0.5587488E+00 -0.1577367E+00 -0.9832640E+00 -0.9044728E+00  0.2938372E+00  0.1034116E+00  0.2904872E+00  0.2846483E+00  0.1323672E+00 -0.2499856E+00 -0.7669448E+00  0.2154351E+00
 0.4800000E-01 -0.5588692E+00 -0.1577743E+00 -0.9834249E+00 -0.9046315E+00  0.2939057E+00  0.1034363E+00  0.2905551E+00  0.2847149E+00  0.1323989E+00 -0.2500444E+00 -0.7670935E+00  0.2154861E+00
 0.5000000E-01 -0.5589939E+00 -0.1578132E+00 -0.9835918E+00 -0.9047960E+00  0.2939768E+00  0.1034619E+00  0.2906255E+00  0.2847840E+00  0.1324317E+00 -0.2501055E+00 -0.7672478E+00  0.2155390E+00
 0.5200000E-01 -0.5591231E+00 -0.1578535E+00 -0.9837646E+00 -0.9049664E+00  0.2940503E+00  0.1034885E+00  0.2906983E+00  0.2848555E+00  0.1324656E+00 -0.2501686E+00 -0.7674074E+00  0.2155937E+00
 0.5400000E-01 -0.5592565E+00 -0.1578951E+00 -0.9839433E+00 -0.9051424E+00  0.2941263E+00  0.1035159E+00  0.2907736E+00  0.2849293E+00  0.1325007E+00 -0.2502339E+00 -0.7675724E+00  0.2156503E+00
 0.5600000E-01 -0.5593942E+00 -0.1579381E+00 -0.9841276E+00 -0.9053241E+00  0.2942046E+00  0.1035442E+00  0.2908513E+00  0.2850055E+00  0.1325369E+00 -0.2503012E+00 -0.7677428E+00  0.2157086E+00
 0.5800000E-01 -0.5595361E+00 -0.1579823E+00 -0.9843177E+00 -0.9055114E+00  0.2942854E+00  0.1035733E+00  0.2909314E+00  0.2850841E+00  0.1325742E+00 -0.2503706E+00 -0.7679183E+00  0.2157688E+00
 0.6000000E-01 -0.5596821E+00 -0.1580279E+00 -0.9845133E+00 -0.9057041E+00  0.2943685E+00  0.1036033E+00  0.2910138E+00  0.2851649E+00  0.1326126E+00 -0.2504421E+00 -0.7680990E+00  0.2158307E+00
 0.6200000E-01 -0.5598321E+00 -0.1580747E+00 -0.9847144E+00 -0.9059023E+00  0.2944539E+00  0.1036341E+00  0.2910985E+00  0.2852480E+00  0.1326521E+00 -0.2505155E+00 -0.7682848E+00  0.2158943E+00
 0.6400000E-01 -0.5599861E+00 -0.1581227E+00 -0.9849210E+00 -0.9061057E+00  0.2945416E+00  0.1036658E+00  0.2911855E+00  0.2853333E+00  0.1326926E+00 -0.2505908E+00 -0.7684756E+00  0.2159596E+00
 0.6600000E-01 -0.5601441E+00 -0.1581720E+00 -0.9851329E+00 -0.9063145E+00  0.2946315E+00  0.1036982E+00  0.2912747E+00  0.2854208E+00  0.1327342E+00 -0.2506681E+00 -0.7686713E+00  0.2160266E+00
 0.6800000E-01 -0.5603060E+00 -0.1582224E+00 -0.9853501E+00 -0.9065284E+00  0.2947236E+00  0.1037314E+00  0.2913661E+00  0.2855105E+00  0.1327768E+00 -0.2507474E+00 -0.7688719E+00  0.2160953E+00
 0.7000000E-01 -0.5604716E+00 -0.1582741E+00 -0.9855725E+00 -0.9067474E+00  0.2948178E+00  0.1037655E+00  0.2914596E+00  0.2856023E+00  0.1328204E+00 -0.2508284E+00 -0.7690773E+00  0.2161655E+00
 0.7200000E-01 -0.5606411E+00 -0.1583269E+00 -0.9858001E+00 -0.9069714E+00  0.2949142E+00  0.1038002E+00  0.2915553E+00  0.2856962E+00  0.1328650E+00 -0.2509114E+00 -0.7692874E+00  0.2162374E+00
 0.7400000E-01 -0.5608142E+00 -0.1583809E+00 -0.9860328E+00 -0.9072005E+00  0.2950127E+00  0.1038358E+00  0.2916531E+00  0.2857921E+00  0.1329106E+00 -0.2509961E+00 -0.7695022E+00  0.2163109E+00
 0.7600000E-01 -0.5609909E+00 -0.1584360E+00 -0.9862704E+00 -0.9074344E+00  0.2951133E+00  0.1038721E+00  0.2917530E+00  0.2858901E+00  0.1329571E+00 -0.2510827E+00 -0.7697216E+00  0.2163859E+00
 0.7800000E-01 -0.5611713E+00 -0.1584922E+00 -0.9865129E+00 -0.9076731E+00  0.2952158E+00  0.1039091E+00  0.2918549E+00  0.2859900E+00  0.1330046E+00 -0.2511709E+00 -0.7699455E+00  0.2164624E+00
 0.8000000E-01 -0.5613551E+00 -0.1585495E+00 -0.9867604E+00 -0.9079165E+00  0.2953204E+00  0.1039468E+00  0.2919588E+00  0.2860919E+00  0.1330530E+00 -0.2512610E+00 -0.7701739E+00  0.2165404E+00
 0.8200000E-01 -0.5615425E+00 -0.1586078E+00 -0.9870126E+00 -0.9081647E+00  0.2954269E+00  0.1039852E+00  0.2920646E+00  0.2861958E+00  0.1331023E+00 -0.2513527E+00 -0.7704067E+00  0.2166200E+00
