 0.2000000E-02 -0.5573562E+00 -0.1573020E+00 -0.9814044E+00 -0.9026386E+00  0.2930440E+00  0.1031252E+00  0.2897019E+00  0.2838780E+00  0.1320013E+00 -0.2493049E+00 -0.7652263E+00  0.2148452E+00
 0.4000000E-02 -0.5573615E+00 -0.1573039E+00 -0.9814086E+00 -0.9026436E+00  0.2930473E+00  0.1031264E+00  0.2897052E+00  0.2838812E+00  0.1320028E+00 -0.2493077E+00 -0.7652319E+00  0.2148477E+00
 0.6000000E-02 -0.5573720E+00 -0.1573076E+00 -0.9814170E+00 -0.9026534E+00  0.2930539E+00  0.1031289E+00  0.2897117E+00  0.2838876E+00  0.1320059E+00 -0.2493134E+00 -0.7652430E+00  0.2148527E+00
 0.8000000E-02 -0.5573877E+00 -0.1573131E+00 -0.9814295E+00 -0.9026681E+00  0.2930637E+00  0.1031325E+00  0.2897215E+00  0.2838972E+00  0.1320106E+00 -0.2493219E+00 -0.7652596E+00  0.2148601E+00
 0.1000000E-01 -0.5574086E+00 -0.1573203E+00 -0.9814460E+00 -0.9026875E+00  0.2930767E+00  0.1031374E+00  0.2897344E+00  0.2839098E+00  0.1320167E+00 -0.2493332E+00 -0.7652816E+00  0.2148699E+00
 0.1200000E-01 -0.5574345E+00 -0.1573294E+00 -0.9814666E+00 -0.9027117E+00  0.2930929E+00  0.1031434E+00  0.2897504E+00  0.2839256E+00  0.1320244E+00 -0.2493472E+00 -0.7653089E+00  0.2148821E+00
 0.1400000E-01 -0.5574653E+00 -0.1573402E+00 -0.9814911E+00 -0.9027405E+00  0.2931122E+00  0.1031505E+00  0.2897695E+00  0.2839443E+00  0.1320335E+00 -0.2493639E+00 -0.7653415E+00  0.2148966E+00
 0.1600000E-01 -0.5575011E+00 -0.1573527E+00 -0.9815196E+00 -0.9027739E+00  0.2931346E+00  0.1031588E+00  0.2897916E+00  0.2839661E+00  0.1320440E+00 -0.2493832E+00 -0.7653793E+00  0.2149135E+00
 0.1800000E-01 -0.5575418E+00 -0.1573670E+00 -0.9815519E+00 -0.9028118E+00  0.2931600E+00  0.1031682E+00  0.2898168E+00  0.2839908E+00  0.1320561E+00 -0.2494052E+00 -0.7654223E+00  0.2149327E+00
 0.2000000E-01 -0.5575872E+00 -0.1573829E+00 -0.9815880E+00 -0.9028542E+00  0.2931884E+00  0.1031787E+00  0.2898450E+00  0.2840184E+00  0.1320695E+00 -0.2494298E+00 -0.7654703E+00  0.2149541E+00
